kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,8,8,1,132,0,0.003103372595254697,691.9838279437257
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,8,8,0,0,0,0.01798791831777412,119.38477871995008
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,2,8,8,1,132,1,0.6734252342810998,3.188896908938226
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,4,8,0,0,0,0.028540049461118967,75.24456644427286
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,4,8,1,132,0,0.003096685755909199,693.4780656713714
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,4,8,0,0,0,0.028424000007693063,75.55177481771656
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,4,8,1,132,1,0.5084559991955757,4.223538814366468
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,8,8,0,0,0,0.01563112090781822,137.3851344804001
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,8,8,1,132,0,0.00309777781755353,693.2335933943691
ws,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,8,8,0,0,0,0.015338880065828562,140.0026363583148
persistent,"n,n,n//8",2048,2048,256,bf16,256,128,64,3,8,8,1,132,1,0.5715605258941651,3.757228763551187
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,4,8,0,0,0,0.032948465108178386,65.17704666816047
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,4,8,1,132,0,0.003098666712870462,693.0347297695241
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,4,8,0,0,0,0.03272595347533392,65.62020109264634
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,4,8,1,132,1,1.3294765608651298,1.6152850762578084
