kernel,shape_tag,M,N,K,dtype,BM,BN,BK,stages,warps,group_m,flatten,ws,num_sms,ms,tflops
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,8,8,1,132,0,0.0030990345403552055,692.9524727897546
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,8,8,0,0,0,0.03368111626180106,63.75927778960037
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,2,8,8,1,132,1,1.9126335859298706,1.1227888414162464
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,4,8,0,0,0,0.022763115834248695,94.3404964257556
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,4,8,1,132,0,0.0031064828107101395,691.2910126514065
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,4,8,0,0,0,0.022567410492583324,95.15862037896464
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,4,8,1,132,1,0.9739911092652215,2.2048287993306848
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,8,8,0,0,0,0.023050442122315107,93.16453179529356
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,8,8,1,132,0,0.0031233103745135255,687.5665209335731
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,8,8,0,0,0,0.02333276597981123,92.03725138537449
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,3,8,8,1,132,1,1.0319879949092865,2.0809192147518805
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,4,8,0,0,0,0.019082122501365994,112.53903478747044
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,4,8,1,132,0,0.0031128276223798506,689.8819685871921
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,4,8,0,0,0,0.01912424490996161,112.29116015353887
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,4,8,1,132,1,0.8734367907047271,2.458659482694009
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,8,8,0,0,0,0.0194635876675242,110.33339200784474
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,8,8,1,132,0,0.0030995478833337193,692.837706927203
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,8,8,0,0,0,0.019727346981514474,108.85820835474235
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,4,8,8,1,132,1,0.9441457788149515,2.274525498271488
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,4,8,0,0,0,0.017510141462388665,122.64227862537489
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,4,8,1,132,0,0.0031169655508008496,688.9661156018365
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,4,8,0,0,0,0.01781919999048114,120.51515495348652
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,4,8,1,132,1,0.8600992023944855,2.496786000988586
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,8,8,0,0,0,0.01821543432471126,117.89362854152205
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,8,8,1,132,0,0.003097878313501892,693.2111047229771
ws,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,8,8,0,0,0,0.01820127999410033,117.98530920331287
persistent,"n,n//8,n",2048,256,2048,bf16,64,64,64,5,8,8,1,132,1,0.9077728033065796,2.3656620248786373
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,4,8,0,0,0,0.03552228571580989,60.45454577953073
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,4,8,1,132,0,0.0031026207344156914,692.1515169995246
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,4,8,0,0,0,0.03555619060283616,60.39689886882047
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,4,8,1,132,1,0.9521066546440125,2.2555074450172103
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,8,8,0,0,0,0.04244559998624027,50.59378707560163
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,8,8,1,132,0,0.003092313092201948,694.458673481487
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,8,8,0,0,0,0.042311291104253336,50.754387114037385
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,2,8,8,1,132,1,1.1300680041313171,1.90031364497464
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,4,8,0,0,0,0.023384851027042308,91.83225693918871
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,4,8,1,132,0,0.0031040000392059826,691.8439500243486
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,4,8,0,0,0,0.02370042563911448,90.60949709088162
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,4,8,1,132,1,0.7866909070448442,2.7297679797353824
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,8,8,0,0,0,0.02688421982412155,79.87896476256289
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,8,8,1,132,0,0.003112626132433829,689.926626787277
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,8,8,0,0,0,0.026669714333755628,80.52143420531313
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,3,8,8,1,132,1,0.6142697206565312,3.495994635230873
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,4,8,0,0,0,0.019881896962670936,108.01200972080215
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,4,8,1,132,0,0.0031159652700728695,689.1872860796614
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,4,8,0,0,0,0.01961204119641142,109.49822236723341
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,4,8,1,132,1,0.6783236952928396,3.1658685416744996
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,8,8,0,0,0,0.022524631572397133,95.33934622183295
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,8,8,1,132,0,0.0031318261166629583,685.6969601774058
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,8,8,0,0,0,0.022466021089961655,95.58807228929139
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,4,8,8,1,132,1,0.5395580045878887,3.9800793051717123
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,5,4,8,0,0,0,0.01785373738543554,120.28202284143839
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,5,4,8,1,132,0,0.0030895304805396693,695.0841435378505
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,5,4,8,0,0,0,0.018100040409751612,118.64524052902212
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,5,4,8,1,132,1,0.6756455393937918,3.178417561857631
ws,"n,n//8,n",2048,256,2048,bf16,64,128,64,5,8,8,0,0,0,0.021986694653567514,97.67196396897039
persistent,"n,n//8,n",2048,256,2048,bf16,64,128,64,5,8,8,1,132,0,0.0031081379696341425,690.9228834049408
